02-01,02-02,02-03,02-04,02-05,02-06,02-07
408,2692666182467403,155752009,True,2025-05-01 06:01:36,savings,150000000
275,0453151297447886,189981494,True,2025-04-21 09:01:36,savings,150000000
355,5545263359222435,106315505,False,2025-04-22 07:01:36,savings,150000000
389,3879590275966589,113133290,False,2025-04-04 01:01:36,credit,150000000
256,4349118405745511,138999642,False,2025-04-26 12:01:36,credit,150000000
385,8317904121934389,220513928,True,2025-04-30 13:01:36,debit,150000000
1,8443721330551171,198831855,True,2025-03-05 05:01:36,debit,150000000
452,6091672308308476,98051351,False,2025-04-07 01:01:36,debit,150000000
59,3205224068296234,83970686,False,2025-03-08 08:01:36,savings,150000000
473,4953358959926299,82212965,False,2025-03-17 14:01:36,credit,150000000
84,8977545200043986,299606067,True,2025-04-04 23:01:36,debit,150000000
49,7972348111270811,144228245,False,2025-03-16 14:01:36,savings,150000000
35,8461299917388645,114966802,False,2025-05-02 23:01:36,savings,150000000
466,3686068581553228,221602233,True,2025-03-06 12:01:36,savings,150000000
427,3802062313896009,163903668,True,2025-05-01 04:01:36,credit,150000000
11,7649925777815867,183534462,True,2025-04-13 00:01:36,savings,150000000
124,5494963742014806,26869588,False,2025-03-26 22:01:36,debit,150000000
497,6798478444097614,143339833,False,2025-03-07 15:01:36,debit,150000000
343,2757904453044671,106212582,False,2025-04-28 09:01:36,credit,150000000
121,7985026786795155,260906636,True,2025-03-06 16:01:36,debit,150000000
224,2204499143607591,93858792,False,2025-03-07 23:01:36,credit,150000000
407,7492863911686978,164337378,True,2025-05-01 09:01:36,savings,150000000
14,0069916439524280,269640719,True,2025-04-01 03:01:36,savings,150000000
390,1341777969629791,141413799,False,2025-04-26 21:01:36,debit,150000000
479,8322087062611582,202907182,True,2025-04-20 01:01:36,credit,150000000
6,6292019798053206,76270415,False,2025-03-18 03:01:36,savings,150000000
186,4763316171994533,206063495,True,2025-03-06 16:01:36,credit,150000000
237,3483584145794016,24255300,False,2025-03-13 01:01:36,debit,150000000
40,0200730714854752,173974347,True,2025-04-11 04:01:36,savings,150000000
200,7050708999174411,77691203,False,2025-04-28 18:01:36,credit,150000000
118,5885180344379786,265756550,True,2025-03-21 14:01:36,debit,150000000
242,0550726772304880,37378978,False,2025-03-07 14:01:36,debit,150000000
490,5249392593044935,114531432,False,2025-04-05 16:01:36,credit,150000000
177,7560506077019728,213354613,True,2025-04-14 07:01:36,savings,150000000
472,1617421175524121,217280111,True,2025-03-09 06:01:36,debit,150000000
464,8715882651108647,190718042,True,2025-03-15 01:01:36,credit,150000000
105,4517167051494987,51803689,False,2025-04-07 06:01:36,savings,150000000
36,5179464237090844,291759103,True,2025-03-16 02:01:36,credit,150000000
246,2845397705782767,160302755,True,2025-03-20 07:01:36,savings,150000000
461,9492661130675151,274228586,True,2025-04-05 13:01:36,debit,150000000
337,3750204249819119,106039512,False,2025-03-23 04:01:36,savings,150000000
16,1222943755576074,231972647,True,2025-03-13 21:01:36,credit,150000000
97,9006459471605072,226020636,True,2025-04-10 04:01:36,savings,150000000
290,4592027005801098,38468343,False,2025-04-19 07:01:36,debit,150000000
375,3092874217942354,85056004,False,2025-04-22 13:01:36,credit,150000000
457,4868441091927637,124203424,False,2025-04-06 20:01:36,savings,150000000
466,7409904059853588,136361480,False,2025-04-30 12:01:36,debit,150000000
227,0948081885660569,285607139,True,2025-04-06 02:01:36,credit,150000000
180,8317186489523640,151665338,True,2025-03-31 23:01:36,credit,150000000
133,2861528541594435,219490434,True,2025-04-16 10:01:36,credit,150000000
98,8093802592063790,197330453,True,2025-04-26 02:01:36,credit,150000000
307,1603262801670572,274630168,True,2025-04-07 01:01:36,debit,150000000
459,5566511416709702,262289957,True,2025-04-01 23:01:36,savings,150000000
356,6521852141674110,59140336,False,2025-04-11 20:01:36,savings,150000000
159,2955849381527152,42280715,False,2025-03-18 19:01:36,credit,150000000
452,3996344383362392,90769561,False,2025-03-17 12:01:36,debit,150000000
372,6566991311044966,58848858,False,2025-04-13 10:01:36,debit,150000000
156,6674905968287138,165155322,True,2025-03-31 05:01:36,debit,150000000
438,3655687592719719,12361609,False,2025-04-16 04:01:36,savings,150000000
456,2784994118172029,133824052,False,2025-03-08 19:01:36,debit,150000000
138,2300919656886550,207935065,True,2025-04-20 01:01:36,savings,150000000
126,7768154149992087,12270302,False,2025-04-19 21:01:36,credit,150000000
351,4936317021679038,83256130,False,2025-04-15 22:01:36,savings,150000000
7,8010198370774009,265310800,True,2025-04-23 17:01:36,savings,150000000
352,8862132786854824,141643079,False,2025-03-24 22:01:36,debit,150000000
310,2710277643735679,42382115,False,2025-03-05 17:01:36,credit,150000000
407,7162675672418789,89021303,False,2025-03-15 13:01:36,savings,150000000
144,2690336405716177,84577177,False,2025-03-29 08:01:36,savings,150000000
380,7726119470277895,227000949,True,2025-04-26 18:01:36,credit,150000000
257,2424526907604660,28361925,False,2025-03-11 05:01:36,credit,150000000
285,1663417029844637,23942817,False,2025-04-26 17:01:36,credit,150000000
198,0586636933645416,72564440,False,2025-03-17 21:01:36,credit,150000000
143,9023547803053504,245040317,True,2025-04-24 07:01:36,savings,150000000
86,9951243224017426,142607706,False,2025-03-08 09:01:36,savings,150000000
258,8062124131857075,247475839,True,2025-04-29 07:01:36,credit,150000000
188,4450365856939687,53363785,False,2025-04-13 10:01:36,debit,150000000
481,8226769551648145,113162623,False,2025-04-02 21:01:36,debit,150000000
295,4855340148211784,65509257,False,2025-04-25 15:01:36,credit,150000000
35,6430835670370951,24933568,False,2025-04-09 06:01:36,debit,150000000
163,5852399992584881,245527500,True,2025-04-30 17:01:36,debit,150000000
288,5268783228144971,93630019,False,2025-03-11 05:01:36,credit,150000000
161,0315789180511727,234983703,True,2025-04-02 11:01:36,credit,150000000
270,4614379440665223,88215004,False,2025-03-28 20:01:36,debit,150000000
419,5501069508654853,246464002,True,2025-03-21 08:01:36,savings,150000000
235,5075285818525440,225962019,True,2025-03-28 03:01:36,debit,150000000
181,5102671270665768,188191298,True,2025-03-26 03:01:36,debit,150000000
46,0505412225250804,247579977,True,2025-03-29 14:01:36,debit,150000000
211,9080057771698450,38080799,False,2025-04-10 03:01:36,credit,150000000
262,4826333011996057,263669987,True,2025-04-24 05:01:36,credit,150000000
24,1954463733298508,96574513,False,2025-04-18 13:01:36,debit,150000000
328,3619463763518139,76966783,False,2025-04-19 02:01:36,debit,150000000
284,6150603121032323,231836751,True,2025-03-11 23:01:36,debit,150000000
120,0754626745768565,123067096,False,2025-04-14 06:01:36,savings,150000000
31,6445856223830059,194929354,True,2025-03-23 06:01:36,savings,150000000
195,3074437981969087,95411071,False,2025-04-03 12:01:36,savings,150000000
164,3503100360833554,225687779,True,2025-03-31 11:01:36,credit,150000000
111,6535539615508603,252867384,True,2025-04-16 13:01:36,credit,150000000
246,1688016602289335,76020945,False,2025-04-16 13:01:36,debit,150000000
249,8075855178343349,201350979,True,2025-03-30 10:01:36,savings,150000000
52,3665328045771513,134459462,False,2025-03-29 13:01:36,credit,150000000
377,9820036968793427,7843287,False,2025-03-08 07:01:36,credit,150000000
344,8455914823210276,86783022,False,2025-03-29 08:01:36,credit,150000000
405,9343304053633558,163345228,True,2025-04-18 06:01:36,savings,150000000
315,0481446905539083,61686409,False,2025-04-23 10:01:36,savings,150000000
85,9090234912377840,52415117,False,2025-04-16 05:01:36,debit,150000000
46,9558315781456584,91153859,False,2025-04-08 05:01:36,credit,150000000
113,5217872261325693,167332850,True,2025-03-25 01:01:36,credit,150000000
151,2955917037488213,227369336,True,2025-03-29 15:01:36,debit,150000000
493,5069962601776249,205354494,True,2025-04-22 04:01:36,credit,150000000
76,6090552018649467,14772251,False,2025-03-10 17:01:36,debit,150000000
427,3058703825545052,232334919,True,2025-04-07 03:01:36,debit,150000000
224,2154300177132222,153854104,True,2025-04-30 18:01:36,credit,150000000
176,6726865114894698,59206497,False,2025-04-02 03:01:36,debit,150000000
255,9825279328915499,19204409,False,2025-04-17 02:01:36,debit,150000000
264,6771707583303877,294385,False,2025-03-18 13:01:36,savings,150000000
442,4073976101377431,146316344,False,2025-03-21 11:01:36,credit,150000000
244,7963207363421301,251715904,True,2025-03-23 17:01:36,credit,150000000
158,5438509461266188,136506673,False,2025-03-18 19:01:36,credit,150000000
341,9296497176264423,87512990,False,2025-04-21 22:01:36,credit,150000000
117,3059050379683757,56795029,False,2025-03-22 18:01:36,savings,150000000
168,1962166271735575,219568031,True,2025-04-06 13:01:36,savings,150000000
6,4940105589145709,298312142,True,2025-03-13 15:01:36,credit,150000000
326,9148918545082374,193465419,True,2025-05-01 11:01:36,credit,150000000
110,8638422793221512,272827421,True,2025-04-17 07:01:36,credit,150000000
4,6644451985799586,2415368,False,2025-04-27 19:01:36,debit,150000000
472,3433967716471567,152080211,True,2025-05-01 21:01:36,debit,150000000
487,0058430962372535,54976617,False,2025-04-15 04:01:36,credit,150000000
194,5682965396666661,144501576,False,2025-04-18 16:01:36,credit,150000000
311,3136454185849936,2704130,False,2025-04-01 11:01:36,debit,150000000
310,8778957423251067,87060371,False,2025-03-09 03:01:36,savings,150000000
93,9428059037875267,263488572,True,2025-05-01 06:01:36,savings,150000000
265,7568274565260233,226562653,True,2025-03-11 21:01:36,savings,150000000
121,7723441179281486,95234682,False,2025-03-18 21:01:36,savings,150000000
293,4957810152737989,172881856,True,2025-04-11 04:01:36,credit,150000000
444,7303755712281344,78595099,False,2025-04-27 11:01:36,debit,150000000
498,9829087707657528,268811735,True,2025-05-01 02:01:36,savings,150000000
255,3609953240143271,148131254,False,2025-03-06 15:01:36,savings,150000000
154,4279073271664306,229488356,True,2025-04-30 18:01:36,debit,150000000
326,7155539486484843,5597035,False,2025-04-21 18:01:36,savings,150000000
417,7171476380447024,239839167,True,2025-04-03 20:01:36,credit,150000000
440,2890319813451056,284728723,True,2025-04-08 06:01:36,savings,150000000
210,2779805266672824,59142106,False,2025-05-04 06:01:36,debit,150000000
92,0814182351291739,232071944,True,2025-04-28 14:01:36,credit,150000000
415,4507288878161583,12728785,False,2025-03-08 05:01:36,savings,150000000
338,4457854331245858,240301430,True,2025-04-05 08:01:36,savings,150000000
484,9301219376122034,123871688,False,2025-05-01 23:01:36,debit,150000000
241,8458709276689031,266232553,True,2025-03-21 19:01:36,debit,150000000
